"state","year","rate_real_2024","rate_nominal","resi_rate_real","sales_mwh","gen_gwh_total","gen_gwh_solar","gen_gwh_wind","gen_gwh_gas","coal_retirements_twh","utility_owned_gen","gas_hub_price","gas_hub_price_real","pou_pct","switching_pct","ami_pct","btm","ee","dr_mw_per_twh_potential","ev_pct","saifi","expected_loss_mwh","expected_loss_fire_mwh","region"
"NJ",2012,18.061811492157,13.68,20.8344579931461,75052914,65263,304,12,28285,0,0.00720356476801959,NA,NA,0.0115121085990065,0.497733692258771,0.216135682158921,0.0140951269785631,0.0428339123284447,NA,NA,NA,21.6185937442367,0.332477153000114,"northeast"
"NJ",2013,17.8456255671825,13.7,20.4899043921008,74642399,64751,437,11,27077,0,0.00715826702033598,55.8141539121115,72.7035395667618,0.01165810778593,0.517010673786088,0.010423606981748,0.0164852065158428,0.0458353503807508,2.07828103771269,NA,0.129,21.7374907401775,0.334305696298459,"northeast"
"NJ",2014,17.9247578853139,13.95,20.2761777369357,73866078,68051,514,23,31410,1.99850112415688,0.00676669608708444,67.5224024345483,86.7614849802156,0.011527912120598,0.504900950609561,0.0095425033258952,0.0193756858985034,0.0499419275433688,1.33062129608386,NA,0.085,21.965948389559,0.337819197210963,"northeast"
"NJ",2015,17.6743849951425,13.74,20.3371198524892,75489623,74609,628,22,36974,0,0.0121908637753751,37.8206442012932,48.6504094889344,0.0118848368486273,0.474356773513096,0.457654520582017,0.0216487509267645,0.0510073761684928,1.21772890617797,NA,0.158,21.4935297409968,0.330553765927303,"northeast"
"NJ",2016,17.0313198351972,13.38,20.009891465568,75359371,77611,835,21,43807,0,0.0125886069523986,23.4920640178522,29.9029040266792,0.0117077193781288,0.479679813144937,0.4563986001371,0.0217495707881857,0.0520327092395761,0.916540305235848,0.000624089868941127,0.174,21.5306794039873,0.331125098842483,"northeast"
"NJ",2017,16.6486912899075,13.32,19.5609623638928,73382940,75645,926,22,37708,8.6297838588142,0.0125435125405373,30.4488456525009,38.0580654206102,0.0116402964999612,0.488600483981699,0.0110348580411342,0.0274355371970651,0.0552254265321577,0.931939303195196,0.000998364996455081,0.059,22.1105676208549,0.340043328477741,"northeast"
"NJ",2018,16.1868767325818,13.23,18.8541020747608,76016762,75034,990,23,38863,0,0.0119299595920724,41.0363478293116,50.2078838902809,0.0117091143722093,0.468289717470471,0.0238530295963226,0.0304856323816643,0.0527771771098436,1.11423310005054,0.0018738375914195,0.457,21.3444826430141,0.328261537515665,"northeast"
"NJ",2019,16.160122572311,13.42,19.0862848562689,73916704,71019,1165,22,40449,2.29797659781185,0.0131395636249242,27.5842318113245,33.2164357029839,0.011393556882646,0.452849115133705,0.0312328694948372,0.0367211801320706,0.056035952316353,0.979608699960736,0.00278905365476486,0.248,21.950903777949,0.337587822788776,"northeast"
"NJ",2020,16.2015445131693,13.63,19.0543476556202,71998221,61106,1305,20,30631,0,0.0132808877019092,19.2115477747379,22.8361516096327,0.012508349983968,0.436129664926026,0.0338888280218546,0.0416362498407712,0.0608708534038455,0.922597066149018,0.00429372466490586,0.645,22.5358131708162,0.346583274204544,"northeast"
"NJ",2021,16.0278249875686,14.01,18.7048492895608,73070466,61434,1378,20,29543,0,0.0132326825547929,42.638926506671,48.7801036193236,0.0128504306024643,0.419222494078524,0.0515001515209356,0.0447222555730535,0.0649896405740326,0,0.00673704387535059,0.115,22.2051198782164,0.341497468636403,"northeast"
"NJ",2022,15.8284175128577,14.8,17.9032235922458,74442735,65061,1518,22,33394,8.10470174144265,0.0131862889222969,83.971880318092,89.8068906090864,0.0131044653689884,0.3870556744053,0.162191341892755,0.0503328058098065,0.0682744217020842,0.025021965676927,0.0121700449032691,0.037,21.7957931971083,0.335202342728036,"northeast"
"NJ",2023,15.786370934331,15.27,18.298543912093,71096939,64229,1544,18,33056,0,0.01311339751193,25.8903490749888,26.7658581609095,0.0132303264923681,0.371292356201158,0.488286525707585,0.0526390031404041,0.0759633639151644,0.299622170328478,0.0184049917395994,0.05,22.8214952698194,0.350976842632879,"northeast"
"NJ",2024,16.4,16.4,19.38,73050000,61232,1787,19,30514,0,0.0130786202798396,28.1484833776798,28.1484833776798,NA,NA,NA,0.0546557717115594,0.0782557926070143,NA,NA,NA,22.2113409594406,0.341593144025768,"northeast"
"NM",2010,12.6433095392015,8.4,15.8342400419524,22428344,36252,9,1832,8512,0.206885137371731,0.715911761743277,NA,NA,0.325828826238799,0,0.16799688321524,0.00173707194159424,0.00883366073280876,NA,NA,NA,11.7938416089796,4.14449076850151,"west"
"NM",2011,12.7917853924435,8.74,16.0995010660044,23041665,38181,128,2104,8566,0,0.701771315483882,NA,NA,0.3248039583945,0,0.24764246802261,0.00230451330359207,0.0129185673479034,NA,NA,NA,11.4799141766755,4.03417307997388,"west"
"NM",2012,12.6514973577306,8.83,16.2907729283575,23178568,36636,334,2226,8799,0,0.697729027277406,NA,NA,0.319929736283847,0,0.260655832887123,0.00356476267721315,0.0175477133298333,NA,NA,NA,11.4121086638186,4.01034544760385,"west"
"NM",2013,13.0594903402537,9.25,16.4902537485582,23065026,35871,388,2193,8975,17.6577179337069,0.705076601454024,48.1414996640652,67.9679405219663,0.313968608092535,0,0.234270082606086,0.00690165034740834,0.0225434200403995,5.6327095831266,NA,0.116,11.4682869504551,4.03008713975767,"west"
"NM",2014,13.3751816081427,9.65,17.0204383573049,23115222,32306,515,2275,8976,0,0.694745083590476,53.7965281649445,74.5635579371706,0.317552923869777,0,0.168169722947997,0.00646307502985033,0.0271619814001926,3.70172067313944,NA,0.021,11.4433829226346,4.02133557967889,"west"
"NM",2015,13.1799720181882,9.62,17.084641483036,23093553,32701,615,2090,9365,0,0.673603425176211,30.8935831671702,42.3260459131884,0.315075130259321,0,0.264789655567486,0.00756511313683393,0.0318207688046813,4.68477542970243,NA,0.097,11.4541204070118,4.02510885443986,"west"
"NM",2016,12.2583653943199,9.12,16.1697517207969,23039547,32912,752,3605,9958,0,0.653153153153153,29.4683678241058,39.6089934607574,0.307059067654997,0,0.27300917820574,0.00954722738765858,0.0365790065482554,5.24690093605488,0.000298775022408127,0.335,11.4809695124522,4.03454393703037,"west"
"NM",2017,12.5342216316372,9.59,16.8342830673084,23009584,33597,1193,4595,9132,27.5024555763908,0.594613703560869,32.8253402132104,42.9030333020097,0.30865873541285,0,0.106193755122907,0.0105708478590793,0.0403971348101415,5.6013345503218,0.000385866269775646,0.203,11.495919990892,4.03979770606788,"west"
"NM",2018,11.8248130196799,9.35,16.0362170149242,24048611,32674,1349,6092,11628,0,0.587246832633702,27.7468856087173,35.0910945670086,0.300256224320732,0,0.115610568373186,0.0123527433663424,0.042281925717266,4.79881148059069,0.000710227272727273,0.028,10.9992355353791,3.8652571103078,"west"
"NM",2019,11.071483447383,8.99,15.4064803033105,24880134,35175,1366,6892,11803,0,0.569729650773557,20.4223772862237,25.1508356040753,0.286209471379857,0,0.121305447789587,0.0146709939461788,0.0440798175027883,3.55303552625561,0.00102310053308923,0.115,10.6316282978102,3.73607572454297,"west"
"NM",2020,11.2935749680975,9.33,15.6633290554321,24777155,34076,1749,7224,12002,0,0.591233493192718,19.0335807293047,23.0393537918263,0.265311728849353,0,0.135674166750748,0.0178686321900866,0.0480107162993596,4.02746148906456,0.00139335476956056,0.077,10.6758155521773,3.75160363087595,"west"
"NM",2021,11.3377376571337,9.79,15.657427285439,25393743,35192,1750,10581,10093,0,0.518939538069328,61.5076165676198,71.2315853482374,0.254795647557778,0,0.14439534224872,0.0216653996454259,0.050963639809359,4.17436649974552,0.00220669363736668,0.228,10.4165950127048,3.66051056989811,"west"
"NM",2022,10.7440006569858,10.02,14.8400168755173,27156178,40889,1981,14435,10978,0,0.510695759878561,80.0604324337065,85.8452433798711,0.245240375958906,0,0.152812669502412,0.0240228360906007,0.0509467253699366,3.84193257236309,0.00367990048719809,0.161,9.74055836162617,3.4229435622633,"west"
"NM",2023,9.73643641495334,9.47,14.2396667737174,28347490,39269,2613,14914,14231,0,0.486752708364706,31.9934070612553,32.8935346937309,0.232699423409088,0,0.214735852929934,0.0273286886090734,0.0516625738076954,3.81043504457797,0.00527555828723622,0.245,9.33120839579478,3.27909330458451,"west"
"NM",2024,9.3,9.3,14.37,30344000,40148,4319,15285,11891,0,0.425010248199798,16.9612622569169,16.9612622569169,NA,NA,NA,0.0277486484778462,0.0515605232918391,NA,NA,NA,8.71725338411906,3.06334249475271,"west"
"NV",2010,14.6451668829085,9.73,18.6037268933966,33772595,35146,217,NA,23688,0,0.883972680929794,NA,NA,0.118520943856872,0.0421559551464731,0.208828076841456,1.15931100871788e-06,0.0651804867827764,NA,NA,NA,23.5968117771263,3.25229357013197,"west"
"NV",2011,13.1284113238235,8.97,16.9922915796646,33916479,31936,291,NA,21841,0,0.890017630761481,NA,NA,0.121517815070082,0.0432389812633558,0.872040608371944,0.0016351974854604,0.0717835169873396,NA,NA,NA,23.4967069382443,3.2384963535033,"west"
"NV",2012,12.8234316366578,8.95,16.949854330912,35179918,35173,473,129,25647,0,0.853764172132688,NA,NA,0.122031475032177,0.0458533189304193,0.963942339457941,0.00231824236971184,0.0748205102141583,NA,NA,NA,22.6528546041556,3.12219015306321,"west"
"NV",2013,12.7488862456747,9.03,16.7867394752018,35211215,36444,745,251,24767,0,0.847582751452482,41.4506130789432,58.5215006596816,0.136219690007532,0.0573313360530161,0.948314354848089,0.00248063852583866,0.0743704967714648,7.97135107124794,NA,0.037,22.6327199285829,3.11941503765693,"west"
"NV",2014,13.486063942718,9.73,17.921357325729,35075606,36001,1014,300,22961,9.49973611844115,0.827549418428152,45.9511878806657,63.6896873589419,0.141515948699765,0.0608089565152488,0.952724691218415,0.00331507778804851,0.0745008185104872,8.45171239374039,NA,0.07,22.7202223516856,3.1314752926912,"west"
"NV",2015,12.9881636935992,9.48,17.4819587268276,36019690,39047,1657,310,29000,0,0.799563231085898,24.9976790680575,34.2483067189861,0.136745979858496,0.0640013003998646,0.95990325588653,0.00851741412740055,0.0735191218143685,8.79332871146552,NA,0.174,22.1247203249144,3.04939863627841,"west"
"NV",2016,11.2771585151693,8.39,15.3363979330252,36144630,39787,3124,344,28922,0,0.759580302849649,23.5269442915897,31.6230131291792,0.128158038511945,0.073052096535502,0.959633453283933,0.0113632974947983,0.0732120761263314,7.33869965688626,0.000899847026005579,0.1,22.0482425035231,3.03885787640297,"west"
"NV",2017,11.4494037010576,8.76,15.6710445634338,36657786,38201,4146,361,26626,7.71707546922856,0.743456186245221,27.2614071931307,35.6309196818571,0.12198139571427,0.105165025514634,0.949836233582154,0.0121386788543287,0.0716360152807973,11.2689479468513,0.00135400742520201,0.094,21.7395989883327,2.99631826005998,"west"
"NV",2018,10.9648266182487,8.67,14.9865277308243,37780263,39640,4719,312,26689,0,0.734918558302157,29.3476975984401,37.1156188940817,0.114761553779536,0.127529683951644,0.955130600723572,0.0156326201017587,0.0687746214145083,8.82950981185124,0.00216799863968713,0.163,21.0937008945681,2.90729563119164,"west"
"NV",2019,10.8128614758646,8.78,14.7783983724801,36982386,39890,4811,329,25775,0,0.711266772194033,31.8099916310591,39.1750607124208,0.109426150239544,0.122890664761327,0.942666731077417,0.0219275144214043,0.0706215802488034,8.09108714736586,0.00328659982526938,0.042,21.5487872372571,2.97001912113435,"west"
"NV",2020,10.08311677216,8.33,13.726595941932,38233899,40425,5535,325,26801,0,0.701327401356576,21.1326525378586,25.5801924663518,0.12153297306723,0.132596939694798,0.95034729400091,0.0264836543274303,0.0684902377884739,8.20965138082323,0.00456185460125244,0.14,20.8434292155272,2.87280126897786,"west"
"NV",2021,9.93644423883629,8.58,13.3064970051549,39032042,41755,6585,340,26130,0,0.664097911650466,46.8841892193538,54.2962857647038,0.123033234022464,0.121786992338244,0.94187319738906,0.0319415312831503,0.0673654032247026,7.8932158580876,0.00702349237103415,0.168,20.4172143348308,2.81405706535085,"west"
"NV",2022,11.730475767208,10.94,14.7756815422419,39320007,42592,9030,316,24844,0,0.644865009713942,85.8154481137206,92.0160909095154,0.108140506160125,0.160649869670674,0.953929639785417,0.0385983506175517,0.0669581780530757,6.1703070898308,0.013051930019439,0.262,20.2676863063661,2.79344796569266,"west"
"NV",2023,13.4582843370369,13.09,17.1390068677162,38249355,42164,9696,291,24599,0,0.615926933783742,45.5444835463552,46.8258678036933,0.104066188366612,0.167258323702452,0.958283078316182,0.0487327219289442,0.0691680204456787,6.85818325123504,0.0185438754352334,0.197,20.8350066933186,2.87164041237221,"west"
"NV",2024,11.47,11.47,15,40633000,45530,12479,319,25007,0,0.579453469087395,22.9858244881538,22.9858244881538,NA,NA,NA,0.0536893847799745,0.0652725346327732,NA,NA,NA,19.6127671459188,2.70318198422886,"west"
"NY",2010,22.7622195854072,16.41,25.9941496057605,144623573,136962,NA,2596,48916,0,0.30074647074431,NA,NA,0.186200454022705,0.452926190670175,0.0056677935179223,0.00047206631831077,0.0434981143890383,NA,NA,NA,9.61789813591374,0.0168004070733519,"northeast"
"NY",2011,21.3889315219692,15.89,24.5790994078764,144046609,137480,6,2828,50805,0.545533895839395,0.29356056560651,NA,NA,0.190785167431218,0.473870287359559,0.0080018367804204,0.000759164409233191,0.0552528141480185,NA,NA,NA,9.65642164589855,0.0168676993902899,"northeast"
"NY",2012,20.0026640428494,15.15,23.2638244511555,143162668,135768,53,2992,59462,0,0.29148031992874,NA,NA,0.190174875304991,0.497018852708166,0.00935765109487039,0.00110015609902535,0.0667420330380687,NA,NA,NA,9.71604408186836,0.016971847009743,"northeast"
"NY",2013,20.1121502742553,15.44,24.4758616355737,147895127,136117,67,3539,54354,0.742743375184584,0.290638167390075,46.0985913694994,60.0480438507035,0.193227541250649,0.521259622029332,0.00454229550037595,0.00196357470647586,0.0707396301417184,1.29810459256697,NA,0.153,9.4051428291203,0.0164287691426278,"northeast"
"NY",2014,20.8800943108495,16.25,25.788522635,147371913,137077,71,3968,54380,0,0.290423210823547,60.2903235771755,77.4687779891113,0.194962672473473,0.525852663661901,0.00452339526875747,0.00300216837431287,0.0752228106996981,0.327503941203173,NA,0.083,9.43853387562313,0.0164870961456721,"northeast"
"NY",2015,19.6553568213811,15.28,23.8488426353669,148913655,138582,101,3977,56923,0,0.290032498707438,35.8097780984904,46.0637412447845,0.1917550241438,0.527235887132043,0.00889403156742375,0.00498587550420331,0.0797456065816629,0.396357099360443,NA,0.031,9.34081426693801,0.0163164009291332,"northeast"
"NY",2016,18.418774141652,14.47,22.377474043555,147803038,134377,140,3940,56793,0,0.288954707678723,24.2722540117823,30.8960030789097,0.189245889779545,0.523484158695033,0.0110871242133,0.00685968506117382,0.0855482723333612,7.82291637272852,0.000534731231810372,0.089,9.4110027235427,0.016439005122497,"northeast"
