"timeframe","state","rps"
"2017-2018","IL",0
"2017-2018","MA",0.000783328318463909
"2017-2018","MD",0
"2017-2018","ME",0.0228419733387809
"2017-2018","MI",0.00250265230525654
"2017-2018","MN",0
"2017-2018","MO",0
"2017-2018","NC",0
"2017-2018","NH",0.0241395954389151
"2017-2018","NJ",0
"2017-2018","NM",0.0025644966028069
"2017-2018","NV",0.00142901265231894
"2017-2018","NY",0
"2017-2018","OH",0.00136984118245753
"2017-2018","OR",0
"2017-2018","PA",0
"2017-2018","RI",0.0493286176142546
"2017-2018","TX",0
"2017-2018","VA",0
"2017-2018","VT",0
"2017-2018","WA",0.0028720657981107
"2017-2018","WI",0
"2017-2019","AZ",0.000405207014344103
"2017-2019","CA",0.00330788395019212
"2017-2019","CO",0.00105027912909141
"2017-2019","CT",0.0688145096048969
"2017-2019","DE",0
"2017-2019","IA",0
"2017-2019","IL",0
"2017-2019","MA",0.00318608648523862
"2017-2019","MD",0.0101459713173681
"2017-2019","ME",0.00505020218990416
"2017-2019","MI",0.0105338785916404
"2017-2019","MN",0
"2017-2019","MO",0.021809699869682
"2017-2019","NC",0
"2017-2019","NH",0.0227987545131717
"2017-2019","NJ",0
"2017-2019","NM",0.00208769528384346
"2017-2019","NV",0.00488854618770484
"2017-2019","NY",0.00115341397729032
"2017-2019","OH",0.00176823174458456
"2017-2019","OR",0
"2017-2019","PA",0.000556941898077923
"2017-2019","RI",0.0528952312077735
"2017-2019","TX",0
"2017-2019","VA",0
"2017-2019","VT",0
"2017-2019","WA",0.00303363725382164
"2017-2019","WI",0
"2017-2020","AZ",0.0004665022522269
"2017-2020","CA",0.00827250917914665
"2017-2020","CO",0.00421432092169084
"2017-2020","CT",0.0625764289342887
"2017-2020","DE",0
"2017-2020","IA",0
"2017-2020","IL",0
"2017-2020","MA",0.0217659414450146
"2017-2020","MD",0.0344127687829533
"2017-2020","ME",0.0335573257459725
"2017-2020","MI",0.0219462909100603
"2017-2020","MN",0
"2017-2020","MO",0.0211851080869948
"2017-2020","NC",0
"2017-2020","NH",0.0279678811030108
"2017-2020","NJ",0
"2017-2020","NM",0.0296403011892784
"2017-2020","NV",0.0157675483248726
"2017-2020","NY",0.0249349766127613
"2017-2020","OH",0
"2017-2020","OR",0
"2017-2020","PA",0.00128104223494981
"2017-2020","RI",0.0591366551362214
"2017-2020","TX",0
"2017-2020","VA",0
"2017-2020","VT",0
"2017-2020","WA",0.0197300039852886
"2017-2020","WI",0
"2017-2021","AZ",0.000656943576627037
"2017-2021","CA",0.0113806558342489
"2017-2021","CO",0.00426257901076608
"2017-2021","CT",0.0775261906004341
"2017-2021","DE",0
"2017-2021","IA",0
"2017-2021","IL",0.00353451535955505
"2017-2021","MA",0.0367271699874228
"2017-2021","MD",0.0455574620878258
"2017-2021","ME",0.0610499705281219
"2017-2021","MI",0.0388526725020829
"2017-2021","MN",0
"2017-2021","MO",0.0417939756519559
"2017-2021","NC",0
"2017-2021","NH",0.0346753488143968
"2017-2021","NJ",0.00312178749799171
"2017-2021","NM",0.0318463384648762
"2017-2021","NV",0.025620616693686
"2017-2021","NY",0.0374072234595613
"2017-2021","OH",0
"2017-2021","OR",0
"2017-2021","PA",0.000637776554183832
"2017-2021","RI",0.0704881129775128
"2017-2021","TX",0
"2017-2021","VA",0.000651329792489773
"2017-2021","VT",0.00546929816967725
"2017-2021","WA",0.027677899371398
"2017-2021","WI",0
"2017-2022","AZ",0.000760918471516375
"2017-2022","CA",0.0157798875356262
"2017-2022","CO",0.00414704046417059
"2017-2022","CT",0.0872020753672873
"2017-2022","DE",0
"2017-2022","IA",0
"2017-2022","IL",0.0237495448994075
"2017-2022","MA",0.0496957911055203
"2017-2022","MD",0.0268033226765553
"2017-2022","ME",0.0936318516166325
"2017-2022","MI",0.0375896404099936
"2017-2022","MN",0
"2017-2022","MO",0.0432269779612644
"2017-2022","NC",0
"2017-2022","NH",0.0392200127464861
"2017-2022","NJ",0
"2017-2022","NM",0.0706313073717456
"2017-2022","NV",0.0950106054686445
"2017-2022","NY",0.0444122897810641
"2017-2022","OH",0
"2017-2022","OR",0
"2017-2022","PA",0
"2017-2022","RI",0.0856200974441649
"2017-2022","TX",0
"2017-2022","VA",0.000860035181025391
"2017-2022","VT",0.0124508984276241
"2017-2022","WA",0.0376724622866891
"2017-2022","WI",0
"2017-2023","AZ",0.000908801636838616
"2017-2023","CA",0.0194903199617563
"2017-2023","CO",0.00362712612355537
"2017-2023","CT",0.090761006681258
"2017-2023","DE",0.0183436302430565
"2017-2023","IA",0
"2017-2023","IL",0.049249205457022
"2017-2023","MA",0.0591572755830515
"2017-2023","MD",0.067887021542329
"2017-2023","ME",0.107243318084275
"2017-2023","MI",0.0350126916810349
"2017-2023","MN",0
"2017-2023","MO",0.0402199244039664
"2017-2023","NC",0
"2017-2023","NH",0.0419151385860556
"2017-2023","NJ",0.0197700010764472
"2017-2023","NM",0.0877483399960643
"2017-2023","NV",0.0968749091011767
"2017-2023","NY",0.0721388564324171
"2017-2023","OH",0.00825969895038591
"2017-2023","OR",0
"2017-2023","PA",0.00545066331235835
"2017-2023","RI",0.113366641318498
"2017-2023","TX",0
"2017-2023","VA",0.034673973933145
"2017-2023","VT",0.0171735152440426
"2017-2023","WA",0.0406304112495026
"2017-2023","WI",0
"2017-2024","AZ",0.00118059383987895
"2017-2024","CA",0.0289305293585755
"2017-2024","CO",0.00376654399549409
"2017-2024","CT",0.112067696949186
"2017-2024","DE",0.0500173528688305
"2017-2024","IA",0
"2017-2024","IL",0.0871369476854395
"2017-2024","MA",0.0697078101507277
"2017-2024","MD",0.152725584698531
"2017-2024","ME",0.138880033250572
"2017-2024","MI",0.0369825353140841
"2017-2024","MN",0
"2017-2024","MO",0.0413104454886344
"2017-2024","NC",0
"2017-2024","NH",0.0524832471887551
"2017-2024","NJ",0.087846775076998
"2017-2024","NM",0.0997726334629475
"2017-2024","NV",0.163338047094799
"2017-2024","NY",0.112651976893871
"2017-2024","OH",0.0257671141584544
"2017-2024","OR",0
"2017-2024","PA",0.0121166788462154
"2017-2024","RI",0.162498970163753
"2017-2024","TX",0
"2017-2024","VA",0.11214590856304
"2017-2024","VT",0.0271107198080381
"2017-2024","WA",0.0419196561248125
"2017-2024","WI",0
"2018-2019","AZ",0.00040158640799664
"2018-2019","CA",9.20124221751316e-05
"2018-2019","CO",0.000539410825204676
"2018-2019","CT",0.0431894522418096
"2018-2019","DE",0
"2018-2019","IA",0
"2018-2019","IL",0
"2018-2019","MA",0.00137392686838374
"2018-2019","MD",0.00683778492765803
"2018-2019","ME",-0.0118012419840201
"2018-2019","MI",0.0181394894466128
"2018-2019","MN",0
"2018-2019","MO",0.0229153600594035
"2018-2019","NC",0
"2018-2019","NH",0.00863303432527505
"2018-2019","NJ",0
"2018-2019","NM",0.00198402311052393
"2018-2019","NV",0.00547408259174903
"2018-2019","NY",0.013205769300267
"2018-2019","OH",0.00169571326513146
"2018-2019","OR",0
"2018-2019","PA",0.000305628313430034
"2018-2019","RI",0.0255336335468762
"2018-2019","TX",0
"2018-2019","VA",0
"2018-2019","VT",0
"2018-2019","WA",0.00424978654984544
"2018-2019","WI",0
"2018-2020","AZ",0.00046233396057417
"2018-2020","CA",0.00161640735868086
"2018-2020","CO",0.00376873677602033
"2018-2020","CT",0.0360504811530127
"2018-2020","DE",0
"2018-2020","IA",0
