OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTRY,SOURCE,SOURCEDATE,VAL_DATE,WEBSITE,REGULATED,CNTRL_AREA,PLAN_AREA,HOLDING_CO,SUMMR_PEAK,WINTR_PEAK,SUMMER_CAP,WINTER_CAP,NET_GEN,PURCHASED,NET_EX,RETAIL_MWH,WSALE_MWH,TOTAL_MWH,TRANS_MWH,CUSTOMERS,YEAR,Shape__Are,Shape__Len,NameProp,TypeProp,CityProp,CntrlProp,SimpleType,HoldCoProp,NameFinal,TypeAdj,index_right
1660,21244,"SOUTHSIDE ELECTRIC COOP, INC",NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.electric.coop/information-hub-electric-co-ops-hurricane-michael/",2021-10-06,2019-05-01,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,"SOUTHSIDE ELECTRIC COOP, INC",219.0,244.0,-999999.0,-999999.0,-999999,966654,0,904749,-999999,966654,0,57354,2020,1.11167138388532,8.33796278041291,"Southside Electric Coop, Inc",Cooperative,Not available,PJM Interconnection,Coop,"Southside Electric Coop, Inc",Southside Electric Coop,Cooperative,20
1680,22053,KENTUCKY POWER CO,1 RIVERSIDE PLAZA,COLUMBUS,OH,43215,INVESTOR OWNED,USA,"EIA 860, EIA 861, http://energy.ky.gov/generation/Documents/Electric_Service_Areas_Legal_Size_Map.pdf",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,AMERICAN ELECTRIC POWER CO,961.0,1167.0,1820.0,1820.0,2718573,3243891,0,5116478,469831,5962464,0,165763,2020,0.999778054029321,17.1990811521822,Kentucky Power Co,Investor owned,Columbus,PJM Interconnection,IOU,American Electric Power Co,AEP Kentucky Power Co,Investor owned,20
1876,3291,CENTRAL VIRGINIA ELECTRIC COOP,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.electric.coop/information-hub-electric-co-ops-hurricane-michael/",2021-10-06,2019-05-01,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,CENTRAL VIRGINIA ELECTRIC COOP,157.0,200.0,-999999.0,-999999.0,-999999,797102,0,743151,-999999,797102,0,37918,2020,0.602700339089324,6.02330721373249,Central Virginia Electric Coop,Cooperative,Not available,PJM Interconnection,Coop,Central Virginia Electric Coop,Central Virginia Electric Coop,Cooperative,20
1915,3503,"CHOPTANK ELECTRIC COOPERATIVE, INC",NOT AVAILABLE,NOT AVAILABLE,MD,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census",2021-10-06,2021-04-30,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,"CHOPTANK ELECTRIC COOP, INC",262.0,210.0,-999999.0,-999999.0,-999999,1042269,0,979362,-999999,1042269,0,55188,2020,0.950937740779409,23.4935427613835,"Choptank Electric Cooperative, Inc",Cooperative,Not available,PJM Interconnection,Coop,"Choptank Electric Coop, Inc",Choptank Electric Cooperative,Cooperative,20
1994,40228,RAPPAHANNOCK ELECTRIC COOP,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, http://www.myrec.coop/outagecenter/outage-map.cfm, http://www.myrec.coop/outagecenter/outage-map.cfm",2021-10-06,2019-05-01,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,RAPPAHANNOCK ELECTRIC COOP,835.0,870.0,-999999.0,-999999.0,-999999,3885097,0,3700949,-999999,3885097,0,168177,2020,1.12705779993212,10.0154397134024,Rappahannock Electric Coop,Cooperative,Not available,PJM Interconnection,Coop,Rappahannock Electric Coop,Rappahannock Electric Coop,Cooperative,20
2040,4117,COMMUNITY ELECTRIC COOP,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://ebill.comelec.coop/woViewer/mapviewer.html?config=Outage+Web+Map",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,COMMUNITY ELECTRIC COOP,-999999.0,-999999.0,-999999.0,-999999.0,186733,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.575203200158285,4.00042272526661,Community Electric Coop,Cooperative,Not available,PJM Interconnection,Coop,Community Electric Coop,Community Electric Coop,Cooperative,20
2084,4471,CRAIG-BOTETOURT ELECTRIC COOP,NOT AVAILABLE,NOT AVAILABLE,VA,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://outagemap.cbec.coop/OMSWebMap/OMSWebMap.htm?clientKey=undefined",2021-10-06,2019-05-01,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,CRAIG-BOTETOURT ELECTRIC COOP,-999999.0,-999999.0,-999999.0,-999999.0,79814,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.73899957144522,6.64367450767962,Craig-Botetourt Electric Coop,Cooperative,Not available,PJM Interconnection,Coop,Craig-Botetourt Electric Coop,Craig-Botetourt Electric Coop,Cooperative,20
2097,4619,TOWN OF CULPEPER- (VA),400 S. MAIN ST.,CULPEPER,VA,22701,MUNICIPAL,USA,"EIA 860, EIA 861, Urban Areas - Cartographic Boundary Shapefiles - U.S. Census",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,TOWN OF CULPEPER- (VA),-999999.0,-999999.0,-999999.0,-999999.0,99961,-999999,-999999,-999999,-999999,-999999,-999999,-999999,2020,0.002036433008925,0.488690891358134,Town of Culpeper- (VA),Municipal,Culpeper,PJM Interconnection,MuniAndPublic,Town of Culpeper- (VA),Town of Culpeper- (VA),Municipal utility,20
2098,4622,"CUMBERLAND VALLEY ELECTRIC, INC.",NOT AVAILABLE,NOT AVAILABLE,KY,NOT AVAILABLE,COOPERATIVE,USA,"EIA 861, http://energy.ky.gov/generation/Documents/Electric_Service_Areas_Legal_Size_Map.pdf",2021-10-06,2018-10-12,NOT AVAILABLE,NOT AVAILABLE,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,"CUMBERLAND VALLEY ELECTRIC, INC.",91.0,114.0,-999999.0,-999999.0,-999999,424473,0,402449,-999999,424473,0,23835,2020,0.268754196756163,7.63121304835851,"Cumberland Valley Electric, Inc.",Cooperative,Not available,PJM Interconnection,Coop,"Cumberland Valley Electric, Inc.",Cumberland Valley Electric,Cooperative,20
2142,5027,DELMARVA POWER,NOT AVAILABLE,NOT AVAILABLE,DE,NOT AVAILABLE,INVESTOR OWNED,USA,"EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.delmarva.com/Outages/CheckOutageStatus/Pages/ViewOutageMap.aspx",2021-10-06,2018-10-12,NOT AVAILABLE,REGULATED,"PJM INTERCONNECTION, LLC",NOT AVAILABLE,DELMARVA POWER,4029.0,3136.0,-999999.0,-999999.0,-999999,6613616,0,5828482,335653,6613616,0,534750,2020,1.52608520713602,26.6846701557764,Delmarva Power,Investor owned,Not available,PJM Interconnection,IOU,Delmarva Power,Delmarva Power,Investor owned,20
