"timeframe","var","coeff","result","se","ss","lo","hi"
"2018-2023","st_wind_solar_delta",-0.194123145073585,"R-0.19 (0.13)",0.127406266494824,"",-0.611122166383205,0.222875876236036
"2018-2023","st_rps_sales_cost",0.526348905530818,"R0.53* (0.06)",0.0604985026990133,"*",0.318992983625188,0.733704827436447
"2018-2023","st_btm_delta",0.411810706758578,"R0.41* (0.09)",0.0863449819626317,"*",0.1023842942829,0.721237119234255
"2018-2023","st_load_pct",-0.364770640382998,"R-0.36* (0.1)",0.102016016572655,"*",-0.684898077719066,-0.0446432030469296
"2018-2023","st_gas_exposure",0.188118238721528,"R0.19 (0.13)",0.126667607525294,"",-0.133116990884976,0.509353468328033
"2018-2023","st_saifi_delta",0.159859005171106,"R0.16 (0.21)",0.205721736104261,"",-0.489893422071564,0.809611432413776
"2018-2023","ca_rescale",0.472977077390043,"R0.47* (0.05)",0.0490962336701291,"*",0.300494203302,0.645459951478086
"2018-2023","st_rate_delta_pre",-0.175923381873416,"R-0.18* (0.05)",0.0543604105412277,"*",-0.341224042428539,-0.0106227213182927
"2019-2024","(Intercept)",-0.168480411351656,"R-0.17 (0.07)",0.0747655755613416,"",-0.346106547531166,0.00914572482785447
"2019-2024","st_wind_solar_delta",-0.161022725651161,"R-0.16 (0.1)",0.0988183636721556,"",-0.480106508767265,0.158061057464944
"2019-2024","st_rps_sales_cost",0.305257962540884,"R0.31* (0.1)",0.0961433578148283,"*",0.0202963051530222,0.590219619928747
"2019-2024","st_btm_delta",0.458578913249998,"R0.46* (0.14)",0.142008429439913,"*",0.0819093765032893,0.835248449996706
"2019-2024","st_load_pct",-0.473608684328614,"R-0.47* (0.09)",0.0877916709808926,"*",-0.750981286977905,-0.196236081679323
"2019-2024","st_gas_exposure",0.0525036337234334,"R0.05 (0.11)",0.108846252818002,"",-0.225399788029041,0.330407055475908
"2019-2024","st_saifi_delta",-0.109512690223864,"R-0.11 (0.09)",0.093505110622066,"",-0.377522035278129,0.1584966548304
"2019-2024","ca_rescale",0.721193381861861,"R0.72* (0.03)",0.0327073135062251,"*",0.633728162388598,0.808658601335124
"2019-2024","st_rate_delta_pre",-0.231590937414889,"R-0.23* (0.02)",0.024036288487876,"*",-0.303493000256677,-0.159688874573102
