"timeframe","var","coeff","result","se","ss","lo","hi"
"2018-2024","st_rps_sales_cost",0.191071776009092,"R0.19 (0.06)",0.0585182481823811,"",-0.0132221783553313,0.395365730373516
"2018-2024","st_btm_delta",0.623808602032639,"R0.62* (0.06)",0.0556209429704025,"*",0.473474817988754,0.774142386076524
"2018-2024","st_load_pct",-0.481602172347922,"R-0.48* (0.03)",0.0271854696987528,"*",-0.567184254138815,-0.396020090557029
"2018-2024","st_gas_exposure",0.0455666584938058,"R0.05 (0.07)",0.0696220855355844,"",-0.135097399064347,0.226230716051959
"2018-2024","st_saifi_delta",-0.064907664486629,"R-0.06 (0.08)",0.083895620998664,"",-0.324857963025279,0.195042634052021
"2018-2024","ca_rescale",0.660245423659181,"R0.66* (0.03)",0.0276372523395796,"*",0.584238992211708,0.736251855106654
"2018-2024","st_rate_delta_pre",-0.162828704184871,"R-0.16* (0.03)",0.0312269905240566,"*",-0.256866338758044,-0.0687910696116988
"2019-2024","(Intercept)",-0.168480411351656,"R-0.17 (0.07)",0.0747655755613416,"",-0.346106547531166,0.0091457248278545
"2019-2024","st_wind_solar_delta",-0.161022725651161,"R-0.16 (0.1)",0.0988183636721557,"",-0.480106508767265,0.158061057464944
"2019-2024","st_rps_sales_cost",0.305257962540884,"R0.31* (0.1)",0.0961433578148283,"*",0.0202963051530221,0.590219619928747
"2019-2024","st_btm_delta",0.458578913249998,"R0.46* (0.14)",0.142008429439913,"*",0.0819093765032892,0.835248449996706
"2019-2024","st_load_pct",-0.473608684328614,"R-0.47* (0.09)",0.0877916709808926,"*",-0.750981286977905,-0.196236081679323
"2019-2024","st_gas_exposure",0.0525036337234334,"R0.05 (0.11)",0.108846252818002,"",-0.225399788029041,0.330407055475908
"2019-2024","st_saifi_delta",-0.109512690223864,"R-0.11 (0.09)",0.0935051106220661,"",-0.377522035278129,0.158496654830401
"2019-2024","ca_rescale",0.720440177080009,"R0.72* (0.03)",0.0326731544227476,"*",0.633066305119368,0.807814049040649
"2019-2024","st_rate_delta_pre",-0.231590937414889,"R-0.23* (0.02)",0.0240362884878759,"*",-0.303493000256676,-0.159688874573102
"2020-2024","(Intercept)",-0.0356236170837489,"R-0.04 (0.02)",0.0209534792361147,"",-0.0856186620625703,0.0143714278950725
"2020-2024","st_wind_solar_delta",-0.20877746714618,"R-0.21 (0.11)",0.11051563740045,"",-0.523913599197465,0.106358664905105
"2020-2024","st_rps_sales_cost",0.293434978999612,"R0.29 (0.09)",0.0923485585728659,"",-0.00532319994741953,0.592193157946644
"2020-2024","st_btm_delta",0.440323874276588,"R0.44* (0.05)",0.0512549125672575,"*",0.260980538781653,0.619667209771523
"2020-2024","st_load_pct",-0.43849735548828,"R-0.44* (0.05)",0.0543103202848136,"*",-0.600359187645773,-0.276635523330787
"2020-2024","st_gas_exposure",0.103967282427764,"R0.1 (0.11)",0.11409108087698,"",-0.180331717169112,0.388266282024641
"2020-2024","st_saifi_delta",-0.0117137054946409,"R-0.01 (0.08)",0.0827356900436851,"",-0.218959603363535,0.195532192374253
"2020-2024","ca_rescale",0.624799511117042,"R0.62* (0.05)",0.0453329533874011,"*",0.492113014158594,0.757486008075491
"2020-2024","st_rate_delta_pre",-0.349578670524045,"R-0.35* (0.04)",0.0363171270934104,"*",-0.437403112921351,-0.261754228126738
"2021-2024","(Intercept)",0.107003884090518,"R0.11 (0.07)",0.074479121776273,"",-0.0711662187153425,0.285173986896378
"2021-2024","st_wind_solar_delta",-0.208277496091348,"R-0.21* (0.05)",0.0450559324663199,"*",-0.340274832985764,-0.0762801591969317
