"timeframe","state","rate_delta","rate_delta_nominal","resi_rate_delta","rate_pct","wind_solar_delta","wind_solar_pct","load_delta","load_pct","btm_delta","ee_delta","ev_delta","gas_share","gas_exposure","gas_exposure_nominal","coal_retirements_twh","utility_owned_gen","pou_pct","switching_pct","dr_potential","region","iso","expected_loss_mwh","expected_loss_fire_mwh","rate_delta_pre","rate_delta_nominal_pre","rate_pct_pre","saifi_delta","ami_delta","ca","rps_sales_cost"
"2018-2024","AZ",-0.8818418463666,1.99,-1.2000387445254,-0.0642655596996333,6.39960190970479,1.26327238755504,11957698,0.152626195426556,3.00651958040024,-0.5465787208567,NA,0.431721907745111,1.1875582873957,10.4947267445022,21.2175919402564,0.748303147594086,0.485018871807646,0,8.87566395161114,"west",0,5.77624768202231,2.15826746352851,-0.5941832401386,0.709999999999999,-0.0415047638257283,-0.154,0.130075788440231,0,0.0117004499595689
"2018-2024","CA",6.0315080356905,10.42,8.033317936816,0.287646247806315,8.27253444470426,0.394303498687742,-10711272,-0.0419680773935169,7.42128095994299,5.1799240392124,NA,0.452576791441885,2.64369569594219,23.4888160780506,0,0.342605536542634,0.247314363470842,0.290426833936126,5.69959123886905,"west",1,66.8032860896991,5.8231863097782,0.779225816674,2.28,0.0385960445999302,0.0655,0.0349450332863585,1,0.241608484284323
"2018-2024","CO",-0.452152562266599,2.2,-0.3059334961616,-0.0356808016668737,18.9134591698998,0.969316970097226,297520,0.00527046005631839,2.47134704407253,2.33570008994555,NA,0.294357668016435,1.59742383216431,14.2589729997146,2.01995100997551,0.643122723360305,0.441030959338129,0,11.861492041549,"west",0,14.0104486332103,1.9815797280222,-1.2767949579179,0.139999999999999,-0.0915334261649737,-0.147,0.493495736304223,0,0.033338123581965
"2018-2024","CT",1.9454043350846,6.06,2.8218452962408,0.0863680025171234,0.832474910329986,2.78342924679316,-1570925,-0.0544818299971301,5.34293848996084,-0.349299305818701,NA,0.561303981016176,2.66350516099289,23.8844311003817,0,0.015325082583106,0.0448750875757912,0.477193188873166,3.23003935956193,"northeast",1,12.4277349565081,0.00833480227010869,2.1258733012601,2.75,0.104216002520226,-0.1905,0.050091800305256,0,3.54017042636694
"2018-2024","DE",0.175755776828399,2.89,0.6963525956076,0.0132503423392467,2.71813812906889,3.08434546609435,-408100,-0.0346637674019587,0.95759830831709,2.74776014971485,NA,0.89348822288975,3.30370087743166,29.0191663645641,0,0.033728335351596,0.225286404083426,0.349370410619291,15.7887770156471,"south",1,11.6147016073393,0.164566060916931,-1.4081429840126,-0.35,-0.0959723161697311,-0.018,0.251878992376662,0,1.14150752951966
"2018-2024","FL",-0.405071126363099,2.25,-0.358945813782,-0.0312191834956546,6.05076872942448,6.1273315244585,16519609,0.0692456224717021,1.52754602350432,-0.48611449019843,NA,0.744236524598622,3.34191445271597,29.5932008827572,17.041191792416,0.908560206607533,0.240380426413622,0,2.08882435113108,"south",0,35.6503192760789,1.0560425948938,-0.781974493583901,0.0999999999999996,-0.0568417460541149,-0.375,0.309101171033174,0,0
"2018-2024","GA",-0.604979092598199,1.87,-0.280936610405499,-0.0500190275623073,4.70553006566597,3.04678356791886,7319926,0.0523352503624289,0.180541320841688,0.55069021008389,NA,0.451093305006994,1.84400919488482,16.2770977355675,22.4584460772252,0.714425770476134,0.389852321691431,0,4.57721579347374,"south",0,10.4711946916368,0.147397315221862,-0.948638525531599,-0.0700000000000003,-0.0727281765921329,-0.247,0.0117907468866291,0,0
"2018-2024","IA",-1.6251043578471,0.51,-1.6197844551624,-0.147000363383596,30.6914358495997,0.911339374834143,3716345,0.0725697611170956,0.58712678156363,-2.23418769092327,NA,0.118978648767418,0.51200526328194,4.55523025870115,0,0.814990148948673,0.225387554489575,0,14.8898591963353,"midwest",1,15.32981478698,0.0508374572375827,0.5078392005351,0.85,0.0481488985970013,0.112,0.259057902759868,0,0
"2018-2024","ID",-0.8124836760198,1.35,-1.2965617272461,-0.0786339181842075,3.23959247617144,0.183338132908712,2528492,0.106447098255971,0.871053467102855,-0.921070114836879,NA,0.262907947506986,1.27954846761136,11.5175041010184,0,0.636011565126087,0.135834706031853,0,24.7481403521444,"west",0,8.53139266534129,4.44454899408322,-0.3551208510852,0.6,-0.0332273569989021,-0.005,0.0943782959508854,0,0
"2018-2024","IL",0.432129839088301,2.73,0.0933539630373001,0.0363199323277191,8.21723717911938,1.29115356572167,-9425808,-0.0660742398531706,1.19234107188277,7.08341648929215,NA,0.128782834273628,0.520297977591228,4.65653988203419,3.15208618861124,0.0987505666192363,0.0581759980031231,0.61189325934077,1.59970695342513,"midwest",1,13.6589097080677,0.0082001786442699,1.1022802972937,1.34,0.102104684525713,0.0755,0.0873579449476535,0,0.771712567721731
"2018-2024","IN",-0.7237743821759,1.61,-0.3545716846643,-0.0598963833058237,8.55398892745187,1.69437078161433,-4439376,-0.0426066758152091,0.273433023801258,1.48176409124874,NA,0.33113863342055,1.37542935111818,12.324104478652,23.4586333456569,0.710051257426393,0.214822375165754,0,3.81789535393991,"midwest",1,7.91808695824033,0.0182977537879046,0.6739076134853,1.02,0.0590635830502899,0.209,0.417480100324069,0,0
"2018-2024","KS",-2.0359550130181,0.529999999999999,-2.3254756925178,-0.153241149094904,15.4068929841433,0.421172782940395,-481979,-0.011465595565276,0.271593715935403,-0.165696178404513,NA,0.0629189966063948,0.299876336401833,2.69334627848207,0,0.635845081093001,0.342635171926966,0,0.987676161910686,"midwest",1,17.6214863954326,0.473234472624149,0.5821858272594,1,0.0458278026581313,0.062,0.0935996524833935,0,0
"2018-2024","KY",-0.531977325253301,1.66,-0.347107939869099,-0.049661916665859,0.316023560873105,6.38562069001133,-2510636,-0.0327713765488124,0.166785992489833,-0.38637420355559,NA,0.225525975151727,1.06309931449537,9.4198052818127,51.1213471156627,0.935184496751355,0.479579570675594,0,13.4832897466181,"south",1,10.7525571708709,0.27519459784344,0.3605408460564,0.829999999999999,0.0348300302842966,0.353,0.238230367604152,0,0
