GEOID,NAME,treated,total_population,pct_white,pct_hs_or_above,median_household_income,total_housing_units,propensity_score,weight,group
51107611006,"Census Tract 6110.06, Loudoun County, Virginia",1,5842,66.07326258130777,98.7630025302221,140365.0,1899,0.1355606808850935,1.0,treated
51047930400,"Census Tract 9304, Culpeper County, Virginia",1,5136,80.41277258566979,74.43165871456637,59688.0,1875,0.021730505045310832,1.0,treated
51107611018,"Census Tract 6110.18, Loudoun County, Virginia",1,2724,56.24082232011748,90.4320987654321,69967.0,1231,0.035170653715832646,1.0,treated
51107611020,"Census Tract 6110.20, Loudoun County, Virginia",1,6047,53.51413924259963,94.5668887749872,106731.0,2312,0.07099912395590642,1.0,treated
51059481900,"Census Tract 4819, Fairfax County, Virginia",1,6149,68.62904537323142,95.93805534399594,116768.0,2330,0.07224970032663104,1.0,treated
51153901303,"Census Tract 9013.03, Prince William County, Virginia",1,5037,78.0027794322017,93.9373750832778,146597.0,1360,0.15755545256682002,1.0,treated
51153901304,"Census Tract 9013.04, Prince William County, Virginia",1,2391,89.75324132162275,90.63981042654028,109479.0,934,0.06018250496407121,1.0,treated
51153901409,"Census Tract 9014.09, Prince William County, Virginia",1,6928,71.49249422632793,95.62764456981664,118574.0,2389,0.0798766974784701,1.0,treated
51087201404,"Census Tract 2014.04, Henrico County, Virginia",1,4207,79.70049916805324,89.66442953020135,70417.0,1892,0.021488068947878237,1.0,treated
51683910402,"Census Tract 9104.02, Manassas city, Virginia",1,5996,67.5783855903936,88.5482645046871,112813.0,1729,0.09639140217955805,1.0,treated
51107611601,"Census Tract 6116.01, Loudoun County, Virginia",1,4356,61.84573002754821,88.72842550193731,99153.0,1543,0.0673340616520727,1.0,treated
51107611804,"Census Tract 6118.04, Loudoun County, Virginia",1,6264,58.42911877394637,93.88832997987927,151920.0,2056,0.1739903867778022,1.0,treated
51107611004,"Census Tract 6110.04, Loudoun County, Virginia",1,8393,69.41498868104374,95.6806023380226,131202.0,2721,0.10801698702098239,1.0,treated
51093280200,"Census Tract 2802, Isle of Wight County, Virginia",0,4231,68.35263531080122,86.71974522292993,76515.0,1620,0.03609800347197624,1.0,control
51550021009,"Census Tract 210.09, Chesapeake city, Virginia",0,4278,85.76437587657783,96.36998254799302,103942.0,1426,0.05710833627154952,1.0,control
51059440800,"Census Tract 4408, Fairfax County, Virginia",0,6510,77.12749615975423,93.73115036622146,154667.0,2190,0.14769210175066388,0.3333333333333333,control
51179010205,"Census Tract 102.05, Stafford County, Virginia",0,6978,71.72542275723703,96.79413785207235,125139.0,2091,0.106795494058603,0.5,control
