year,pnode_id,pnode_name,type,avg_total_lmp,avg_energy,avg_congestion,avg_loss,hours,latitude,longitude,GEOID,NAME
2018,50037,WATTSVIL,LOAD,57.46954104349813,35.69533051718231,19.213646534992584,2.5607809110629063,8759,37.93480234,-75.50210517,51001090201,902.01
2018,50607,HARRISBU,GEN,32.6414510788903,35.69533051718231,-3.2102329032994623,0.1560589108345701,8759,38.41132416,-78.8822805,51165011700,117
2018,50608,HARRISBU,GEN,32.6414510788903,35.69533051718231,-3.2102329032994623,0.1560589108345701,8759,38.41132416,-78.8822805,51165011700,117
2018,50738,HAMILTON,GEN,32.36558511245576,35.69533051718231,-3.224790501198768,-0.1052574494805342,8759,39.14640845,-77.68039988,51107610201,6102.01
2018,50924,TASLEY,GEN,58.92892453476425,35.69533051718231,19.209082086996233,4.024799634661489,8759,37.70603558,-75.70276562,51001090500,905
2018,93142,BURLINGT,GEN,33.28551090307113,35.69533051718231,-2.501551546980249,0.0914350953305173,8759,36.57215819,-78.44491332,51117930700,9307
2018,93143,BURLINGT,GEN,33.28553373672794,35.69533051718231,-2.501551546980249,0.0914590706701679,8759,36.57215819,-78.44491332,51117930700,9307
2018,93144,BURLINGT,GEN,33.28551775316817,35.69533051718231,-2.501551546980249,0.0914419454275603,8759,36.57215819,-78.44491332,51117930700,9307
2018,93145,BURLINGT,GEN,33.28553944514214,35.69533051718231,-2.501551546980249,0.0914624957186894,8759,36.57215819,-78.44491332,51117930700,9307
2018,93150,NEWCHURC,GEN,57.336294097499746,35.69533051718231,19.202774289302436,2.4384256193629414,8759,37.98867001,-75.53967558,51001090202,902.02
2018,93151,NEWCHURC,GEN,57.36321954561024,35.69533051718231,19.202774289302436,2.4653476424249345,8759,37.98867001,-75.53967558,51001090202,902.02
2018,93152,NEWCHURC,GEN,57.350272862198885,35.69533051718231,19.202774289302436,2.4524100924763106,8759,37.98867001,-75.53967558,51001090202,902.02
2018,205502,LAWRENCE,LOAD,34.08917113825778,35.69533051718231,-1.9617045324808764,0.3553202420367621,8759,36.74967218,-77.84646653,51025930203,9302.03
2018,205503,LAWRENCE,LOAD,34.08933439890397,35.69533051718231,-1.9617045324808764,0.3555017696084027,8759,36.74967218,-77.84646653,51025930203,9302.03
2018,1047929,HANOVER,LOAD,33.02593104235644,35.69533051718231,-2.560674734558739,-0.1089804772234273,8759,37.74069535,-77.46271479,51085320602,3206.02
2018,1047930,HANOVER,LOAD,32.904514213951366,35.69533051718231,-2.5694428587738325,-0.2218175590820871,8759,37.74069535,-77.46271479,51085320602,3206.02
2018,1048049,REDOAKA,GEN,34.022192031053756,35.69533051718231,-2.093891996803288,0.4206039502226281,8759,37.21217184,-81.75237776,51185020400,204
2018,1048050,REDOAKA,GEN,34.0217113825779,35.69533051718231,-2.093891996803288,0.4201404269893822,8759,37.21217184,-81.75237776,51185020400,204
2018,1048078,NEWCHURC,GEN,57.371298093389655,35.69533051718231,19.202774289302436,2.473434181984245,8759,37.98867001,-75.53967558,51001090202,902.02
2018,1048079,NEWCHURC,GEN,57.36540358488413,35.69533051718231,19.202720630208933,2.46763443315447,8759,37.98867001,-75.53967558,51001090202,902.02
2018,1048080,NEWCHURC,GEN,57.36776344331545,35.69533051718231,19.202720630208933,2.469979449708871,8759,37.98867001,-75.53967558,51001090202,902.02
