year,pnode_id,pnode_name,type,avg_total_lmp,avg_energy,avg_congestion,avg_loss,hours
2015,5021037,GLASGOW,LOAD,31.727131278538803,33.339051369863014,-2.1029429223744294,0.49102283105022815,8760
2015,5021066,BARTONVI,LOAD,36.36658561643834,33.339051369863014,2.933589041095887,0.09394520547945204,8760
2015,5021067,BARTONVI,LOAD,36.36632876712327,33.339051369863014,2.933534246575339,0.09374315068493148,8760
2015,5021139,CRAIGSVI,LOAD,35.929278538812795,33.339051369863014,2.7290376712328768,-0.13881050228310501,8760
2015,5021155,DOUBLETO,LOAD,36.04340296803654,33.339051369863014,2.76493493150685,-0.06058333333333331,8760
2015,5021158,DUPONT,LOAD,32.98562785388127,33.339051369863014,0.5951392694063949,-0.9485627853881279,8760
2015,5021159,DUPONT,LOAD,32.98562785388127,33.339051369863014,0.5951392694063949,-0.9485627853881279,8760
2015,5021160,DUPONT,LOAD,32.98562785388127,33.339051369863014,0.5951392694063949,-0.9485627853881279,8760
2015,5021161,DUPONT,LOAD,32.98562785388127,33.339051369863014,0.5951392694063949,-0.9485627853881279,8760
2015,5021243,GORE APS,LOAD,36.410655251141534,33.339051369863014,2.8639634703196353,0.2076404109589043,8760
2015,5021244,GORE APS,LOAD,36.410655251141534,33.339051369863014,2.8639634703196353,0.2076404109589043,8760
2015,5021246,GRAFTON,LOAD,33.047851598173516,33.339051369863014,0.4382191780821911,-0.7294189497716893,8760
2015,5021247,GRAFTON,LOAD,33.047851598173516,33.339051369863014,0.4382191780821911,-0.7294189497716893,8760
2015,5021255,GREENWOO,LOAD,36.24472945205479,33.339051369863014,2.7526803652968033,0.15299771689497707,8760
2015,5021256,GREENWOO,LOAD,36.24472945205479,33.339051369863014,2.7526803652968033,0.15299771689497707,8760
2015,5021322,KLINESMI,LOAD,35.83018607305936,33.339051369863014,2.717328767123288,-0.2261940639269407,8760
2015,5021428,NSHE APS,LOAD,36.5433196347032,33.339051369863014,3.1936723744292257,0.010595890410958965,8760
2015,5021429,NSHE APS,LOAD,36.5433196347032,33.339051369863014,3.1936723744292257,0.010595890410958965,8760
2015,5021440,OLDCHAPE,LOAD,36.31245091324203,33.339051369863014,2.8902819634703194,0.08311757990867578,8760
2015,5021441,OLDCHAPE,LOAD,36.31245091324203,33.339051369863014,2.8902819634703194,0.08311757990867578,8760
2015,5021451,PAGE,LOAD,36.57343493150685,33.339051369863014,3.0101963470319637,0.2241872146118724,8760
2015,5021452,PAGE,LOAD,36.57304223744293,33.339051369863014,3.0096495433789956,0.22434132420091352,8760
2015,5021453,PAGE,LOAD,36.57343493150685,33.339051369863014,3.0101963470319637,0.2241872146118724,8760
2015,5021485,REDBUD,LOAD,36.337300228310504,33.339051369863014,2.743883561643836,0.25436529680365283,8760
2015,5021486,REDBUD,LOAD,36.337304794520556,33.339051369863014,2.743883561643836,0.2543698630136985,8760
2015,5021496,RIVERTON,LOAD,36.07060730593609,33.33905136986302,2.774908675799086,-0.043352739726027406,8760
2015,5021540,SPERRYVI,LOAD,36.65495205479453,33.33905136986302,3.0101963470319637,0.3057043378995434,8760
2015,5021550,STRASBUR,LOAD,36.1631107305936,33.33905136986302,2.8813881278538815,-0.0573287671232877,8760
2015,5021551,STRASBUR,LOAD,36.1631107305936,33.33905136986302,2.8813881278538815,-0.0573287671232877,8760
2015,10700750,BELLEHAV,LOAD,62.734098173516,33.33905136986302,25.517466894977172,3.877579908675799,8760
2015,21601652,PERDUE,LOAD,62.15979680365295,33.33905136986302,25.517450913242012,3.3032945205479454,8760
2015,31020629,GREENWOO,LOAD,36.24472945205479,33.33905136986302,2.7526803652968033,0.15299771689497707,8760
