substation_name,latitude,longitude,pnode_match,pnode_id,type
Gum Springs,38.74867082,-77.08931275,GUMSPRNG,34886277,LOAD
Hales Branch,37.26051801,-81.94308053,HALESBRA,1218904892,LOAD
Hales Branch,37.26051801,-81.94308053,HALESBRA,1218904893,LOAD
Hamilton,39.14640845,-77.68039988,HAMILTON,49434,LOAD
Hamilton,39.14640845,-77.68039988,HAMILTON,49435,LOAD
Hamilton,39.14640845,-77.68039988,HAMILTON,50738,GEN
Hancock,37.26744642,-80.02305441,HANCOCK,32411469,LOAD
Hancock,37.26744642,-80.02305441,HANCOCK,32411471,LOAD
Hancock,37.26744642,-80.02305441,HANCOCK,32411473,LOAD
Hancock,37.26744642,-80.02305441,HANCOCK,32411475,LOAD
Hancock,37.26744642,-80.02305441,HANCOCK,32411477,LOAD
Hancock,37.26744642,-80.02305441,HANCOCK,45565849,LOAD
Hancock,37.26744642,-80.02305441,HANCOCK,2156110814,LOAD
Hancock,37.26744642,-80.02305441,HANCOCK,2156115083,LOAD
Hanover,37.74069535,-77.46271479,HANOVER,1047929,LOAD
Hanover,37.74069535,-77.46271479,HANOVER,1047930,LOAD
Hans Meadow,37.15259022,-80.41152767,HANSMEAD,2156113434,LOAD
Hansonville,36.84781902,-82.12132495,HANSONVL,38367847,LOAD
Harmony Village,37.58231166,-76.48478139,HARMONYV,34885393,LOAD
Harmony Village,37.58231166,-76.48478139,HARMONYV,38367909,LOAD
Harmony Village,37.58231166,-76.48478139,HARMONYV,2041990327,GEN
Harrisonburg,38.41132416,-78.8822805,HARRISBU,50607,GEN
Harrisonburg,38.41132416,-78.8822805,HARRISBU,50608,GEN
Harrisonburg,38.41132416,-78.8822805,HARRISBU,1107277568,LOAD
Harrisonburg,38.41132416,-78.8822805,HARRISBU,1107277569,LOAD
Harrisonburg,38.41132416,-78.8822805,HARRISBU,1183219021,LOAD
Harrisonburg,38.41132416,-78.8822805,HARRISBU,1183219022,LOAD
Harrisonburg,38.41132416,-78.8822805,HARRISBU,1183219023,LOAD
Harrisonburg,38.41132416,-78.8822805,HARRISBU,1183219024,LOAD
Harrisonburg,38.41132416,-78.8822805,HARRISBU,1183219025,LOAD
Harrison,38.81146883,-77.45130042,HARRISON,5022437,EHV
Harrison,38.81146883,-77.45130042,HARRISON,40243517,LOAD
Harvell,37.25649655,-77.37203088,HARVELL,34885395,LOAD
Harvell,37.25649655,-77.37203088,HARVELL,34885397,LOAD
Harrowgate,37.29185054,-77.41912399,HARWGATE,34885399,LOAD
Harrowgate,37.29185054,-77.41912399,HARWGATE,34885401,LOAD
Harrowgate,37.29185054,-77.41912399,HARWGATE,34885403,LOAD
Hayes,37.27920313,-76.49480811,HAYES,34885405,LOAD
Hayes,37.27920313,-76.49480811,HAYES,34885407,LOAD
Hayfield,38.7631148,-77.15040432,HAYFIEL4,34886281,LOAD
Hayfield,38.7631148,-77.15040432,HAYFIEL4,34886283,LOAD
Haysi,37.20857863,-82.30075678,HAYSI,1218905980,LOAD
Haysi,37.20857863,-82.30075678,HAYSI,1218905981,LOAD
HCF,37.29786666,-77.2729608,HCF,76427811,GEN
HCF,37.29786666,-77.2729608,HCF,76427813,GEN
HCF,37.29786666,-77.2729608,HCF,76427815,GEN
HCF,37.29786666,-77.2729608,HCF,76427817,GEN
Hemdon,38.96607667,-77.37907567,HERNDNPK,34886285,LOAD
Hemdon,38.96607667,-77.37907567,HERNDNPK,1183224822,LOAD
Hickory,36.64364792,-76.23691794,HICKORY,34885869,LOAD
Hickory,36.64364792,-76.23691794,HICKORY,1369002657,LOAD
Hill,36.72236029,-82.63475531,HILL,44460761,LOAD
Hill,36.72236029,-82.63475531,HILL,44460763,LOAD
Hollymeade,38.12733997,-78.43377319,HOLLYMD,34886791,LOAD
Hopewell,37.29006049,-77.28266628,HOPEWELL,1084385301,LOAD
Huffman,36.77730114,-80.71930201,HUFFMAN,32411603,LOAD
Huffman,36.77730114,-80.71930201,HUFFMAN,32411605,LOAD
