Name,HIFLD_Name,HIFLD_ID,city,City_Prop,zip,type,Type_Prop,status,Stat_Prop,county,Count_Prop,countyfips,StateShort,StateFull,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,LineTxt,max_volt,CurrentMax,min_volt,CurrentMin,max_infer,min_infer,MinVoltCat,geometry
Jacksons Ferry,JACKSONS FERRY,154234,MAX MEADOWS,Max Meadows,24360,SUBSTATION,Substation,IN SERVICE,In service,WYTHE,Wythe,51197,VA,Virginia,USA,36.877032963,-80.825717724,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-07-01,IMAGERY,2014-07-01,6.0,6,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-80.82571772367169 36.87703296307991)
Peters Mountain,PETERS MOUNTAIN,154239,NARROWS,Narrows,24124,SUBSTATION,Substation,IN SERVICE,In service,GILES,Giles,51071,VA,Virginia,USA,37.372100442,-80.798145577,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-09-16,IMAGERY,2014-09-16,1.0,1,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-80.79814557724768 37.37210044173462)
Hill,HILL,154294,FORT BLACKMORE,Fort Blackmore,24250,SUBSTATION,Substation,IN SERVICE,In service,SCOTT,Scott,51169,VA,Virginia,USA,36.722360288,-82.634755306,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-06-27,IMAGERY,2014-06-27,5.0,5,138.0,138,-999999.0,Unknown,Y,Y,Unknown,POINT (-82.6347553060837 36.72236028773027)
Tap154516,TAP154516,154516,CLINTWOOD,Clintwood,24228,TAP,Tap,IN SERVICE,In service,DICKENSON,Dickenson,51051,VA,Virginia,USA,37.138514583,-82.538852536,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-06-27,IMAGERY/OTHER,2015-08-14,3.0,3,46.0,46,46.0,46,Y,Y,Under 69,POINT (-82.53885253628192 37.13851458305462)
Tap154562,TAP154562,154562,OAKWOOD,Oakwood,24631,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.205301221,-82.010668663,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-06-26,IMAGERY/OTHER,2015-08-14,3.0,3,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.01066866317032 37.205301221031526)
Tap154580,TAP154580,154580,BATESBURG,Batesburg,29006,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.181407296,-82.035776318,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-09-10,IMAGERY/OTHER,2017-12-01,3.0,3,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.03577631844331 37.181407295700126)
Lebanon,LEBANON,154596,LEBANON,Lebanon,24266,SUBSTATION,Substation,IN SERVICE,In service,RUSSELL,Russell,51167,VA,Virginia,USA,36.922644931,-82.070513787,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-06-26,IMAGERY,2014-06-26,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.07051378689957 36.92264493072242)
Abingdon,ABINGDON,154597,ABINGDON,Abingdon,24210,SUBSTATION,Substation,IN SERVICE,In service,WASHINGTON,Washington,51191,VA,Virginia,USA,36.720046206,-82.007966583,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-06-27,IMAGERY,2014-06-27,3.0,3,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.00796658289799 36.720046206359896)
Elk Garden,ELK GARDEN,154913,LEBANON,Lebanon,24266,SUBSTATION,Substation,IN SERVICE,In service,RUSSELL,Russell,51167,VA,Virginia,USA,36.914764061,-81.996991004,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap",2014-06-26,IMAGERY,2014-06-26,1.0,1,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.99699100358755 36.914764060721055)
Broadford (765 kV),BROADFORD (765 KV),155015,SALTVILLE,Saltville,24370,SUBSTATION,Substation,IN SERVICE,In service,SMYTH,Smyth,51173,VA,Virginia,USA,36.92167698,-81.679645328,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, OpenStreetMap, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-27,IMAGERY,2019-02-06,4.0,4,765.0,765,138.0,138,N,Y,115 to 229,POINT (-81.67964532810649 36.92167697993341)
