Datacenter URL,Country,City,Datacenter Name
https://www.datacentermap.com/denmark/copenhagen/penta-cph02/,denmark,copenhagen,penta-cph02
https://www.datacentermap.com/germany/duesseldorf/penta-dus01/,germany,duesseldorf,penta-dus01
https://www.datacentermap.com/the-netherlands/maastricht/penta-gln01/,the-netherlands,maastricht,penta-gln01
https://www.datacentermap.com/germany/hamburg/penta-ham02/,germany,hamburg,penta-ham02
https://www.datacentermap.com/belgium/brussels/penta-infra-bru01/,belgium,brussels,penta-infra-bru01
https://www.datacentermap.com/the-netherlands/leeuwarden/penta-lee01-dcf1/,the-netherlands,leeuwarden,penta-lee01-dcf1
https://www.datacentermap.com/the-netherlands/leeuwarden/penta-lee02-dcf2/,the-netherlands,leeuwarden,penta-lee02-dcf2
https://www.datacentermap.com/germany/leipzig/penta-lej01/,germany,leipzig,penta-lej01
https://www.datacentermap.com/france/paris/penta-par01/,france,paris,penta-par01
https://www.datacentermap.com/slovenia/ljubljana/perftechdc/,slovenia,ljubljana,perftechdc
https://www.datacentermap.com/slovakia/bratislava/perpetuus-dcp1/,slovakia,bratislava,perpetuus-dcp1
https://www.datacentermap.com/sweden/linkoping/phonera-datacenter-linkoping/,sweden,linkoping,phonera-datacenter-linkoping
https://www.datacentermap.com/italy/ascoli-piceno/picenodatacentre-i/,italy,ascoli-piceno,picenodatacentre-i
https://www.datacentermap.com/romania/bucharest/pidgin-bucharest/,romania,bucharest,pidgin-bucharest
https://www.datacentermap.com/sweden/stockholm/pionen/,sweden,stockholm,pionen
https://www.datacentermap.com/france/lyon/pixel69/,france,lyon,pixel69
https://www.datacentermap.com/germany/berlin/pixelpark-ag-colo-ii-berlin/,germany,berlin,pixelpark-ag-colo-ii-berlin
https://www.datacentermap.com/italy/padova/planetel-padua/,italy,padova,planetel-padua
https://www.datacentermap.com/italy/padova/planetel-padua-1/,italy,padova,planetel-padua-1
https://www.datacentermap.com/italy/bergamo/planetel-servizi-internet-bergamo/,italy,bergamo,planetel-servizi-internet-bergamo
https://www.datacentermap.com/germany/schwerin/planet-ic-schwerin1/,germany,schwerin,planet-ic-schwerin1
https://www.datacentermap.com/italy/florence/playnet-srl/,italy,florence,playnet-srl
https://www.datacentermap.com/spain/valencia/plexval/,spain,valencia,plexval
https://www.datacentermap.com/poland/grodzisk-mazowiecki/plus-data-center/,poland,grodzisk-mazowiecki,plus-data-center
