,substation_name,latitude,longitude,pnode_match
378,Fishersville,38.09569253,-78.95571892,FISHERSV
11,Fletchers Ridge,37.11397828,-82.06905292,FLETCHER
517,Floyd,36.92592942,-80.30859177,FLOYD
43,Falls Church,38.88572746,-77.15769712,FLSCHURC
160,Fluvanna P.S.,37.86735761,-78.37942772,FLUVANNA
184,Forest,37.36345077,-79.29310555,FOREST2
430,Four Rivers,37.82178788,-77.44353517,FOURRIVR
46,Franconia,38.73904943,-77.19379111,FRANCONA
282,Franklin,36.9834625,-79.91829925,FRANKLIN
120,Fredericksburg,38.30442241,-77.48324483,FRDRKSBG
508,Freeman DP,36.76420328,-77.70108816,FREEMAN
19,Freemont,37.1298211,-82.39644841,FREMONT
505,Fries,36.71525958,-80.98805527,FRIES
323,Front Royal,38.96852935,-78.17746336,FRONT ROYAL
454,Fort Eustis,37.16228569,-76.54619558,FTEUSTIS
496,Fork Pickett,37.12094649,-77.93804953,FTPICKET
425,Fuller Road,38.50080254,-77.36493535,FULLERRD
145,Gainesville,38.79084529,-77.56517207,GAINESVL
344,Gallows Road,38.85442877,-77.21914412,GALLWSRD
72,Garden Creek,37.20653433,-82.00870517,GARDEN CREEK 1-2
477,Garner DP,37.89372551,-76.50641924,GARNERDP
129,Garrisonville,38.45567963,-77.48973414,GARRISON
313,George Street,37.32730768,-79.18306746,GEORGEST
359,Glasgow,37.62484234,-79.48069516,GLASGOW
350,Glen Carlyn,38.86952651,-77.12929085,GLCARLYN
110,Glebe,38.84164768,-77.05461594,GLEBE
504,Glen Lyn,37.36974301,-80.86129938,GLENLYN
306,Gomingo,37.42663253,-79.08461772,GOMINGO
563,Goose Creek,39.07550887,-77.53146441,GOOSECRE
39,Gordonsville Energy LP,38.12406512,-78.20421808,GORDONSV
319,Gordonsville,38.12654775,-78.22154914,GORDONSV
0,Gore,39.27620298,-78.36464218,GORE APS
362,Goshen,37.96834452,-79.5092247,GOSHEN
246,Gosport,36.79482702,-76.31207238,GOSPORT
455,Grafton,37.14913923,-76.4984995,GRAFTON
15,Kean Mtn and Grassy Creek,37.17466483,-81.92254075,GRASSYCR
186,Graves Mill,37.39562631,-79.23619671,GRAVESMI
253,Green Run,36.79792287,-76.10728467,GREENRUN
128,Greenway,39.00405042,-77.47959763,GREENWAY
251,Greenwich,36.84176562,-76.17497997,GREENWCH
325,Greenwood,39.15236609,-78.13148503,GREENWOO
366,Mt Airy,36.93689888,-79.36244031,GRETNA
175,Otter River,37.05422683,-79.25305614,GRITDP
301,Grottoes,38.26606908,-78.81281928,GROTTOES
18,Grundy,37.30119801,-82.12463263,GRUNDY
357,Gum Springs,38.74867082,-77.08931275,GUMSPRNG
12,Hales Branch,37.26051801,-81.94308053,HALESBRA
451,Hamilton,39.14640845,-77.68039988,HAMILTON
380,Hancock,37.26744642,-80.02305441,HANCOCK
429,Hanover,37.74069535,-77.46271479,HANOVER
533,Hans Meadow,37.15259022,-80.41152767,HANSMEAD
546,Hansonville,36.84781902,-82.12132495,HANSONVL
476,Harmony Village,37.58231166,-76.48478139,HARMONYV
222,Harrisonburg,38.41132416,-78.8822805,HARRISBU
55,Harrison,38.81146883,-77.45130042,HARRISON
515,Harvell,37.25649655,-77.37203088,HARVELL
404,Harrowgate,37.29185054,-77.41912399,HARWGATE
461,Hayes,37.27920313,-76.49480811,HAYES
47,Hayfield,38.7631148,-77.15040432,HAYFIEL4
73,Haysi,37.20857863,-82.30075678,HAYSI
417,HCF,37.29786666,-77.2729608,HCF
209,Hemdon,38.96607667,-77.37907567,HERNDNPK
243,Hickory,36.64364792,-76.23691794,HICKORY
551,Hill,36.72236029,-82.63475531,HILL
173,Hollymeade,38.12733997,-78.43377319,HOLLYMD
406,Hopewell,37.29006049,-77.28266628,HOPEWELL
289,Huffman,36.77730114,-80.71930201,HUFFMAN
138,Hull Street Road,37.44443045,-77.57657806,HULLSTR
200,Hunter,38.94811967,-77.32836393,HUNTER
273,Bennington,37.30857259,-79.93011714,HUNTINCT
345,Idylwood,38.88564244,-77.20960835,IDYLWOO4
214,Independent Hill D.P.,38.63250082,-77.46074687,INDEPHIL
250,Industrial Park,36.86389966,-76.24852728,INDUSTPK
287,Ingersoll Rand,37.34452674,-79.92031606,INGERSOL
518,Ingles St,37.11704384,-80.59313942,INGLESST
113,Iron Bridge,37.40862166,-77.50466853,IRONBRI4
174,Ivy Hill,37.42575301,-79.29093033,IVYHILL
548,Jacksons Ferry,36.8791622,-80.82317025,JACKSONS FERRY
511,Jarratt,36.82027337,-77.48376492,JARRATT
109,Jefferson Street,38.797078,-77.05484794,JEFFERSON
493,Jetersville,37.28060252,-78.11164197,JETERSVL
6,Jewell Ridge,37.19242587,-81.7830456,JEWELRDG
196,Johnson DP,38.83203344,-77.46574692,JOHNSNDP
178,Evington,37.24017236,-79.30200924,JOHNSONM
314,Joshua Falls,37.42539439,-79.03621227,JOSHUA FALLS
432,Kings Dominion,37.84628421,-77.44170624,KDOMINDP
346,Keene Mill,38.77393307,-77.26349495,KEENMILL
491,Kenbridge,36.9596282,-78.13172368,KENBRIDG
581,Cherrydale Solar Power Facility,37.365716,-75.916007,KENDLGRV
402,Kevlar,37.45005506,-77.43748999,KEVLAR
169,Kidds Store,37.79953752,-78.36834662,KIDDSTDP
506,Kimballton,37.35329063,-80.66672838,KIMBALLT
236,Kings Fork,36.7843036,-76.60233969,KINGSFRK
481,King's Mill,37.23368811,-76.63094246,KINGSMIL
333,Meadow Brook,39.05412251,-78.25515661,KLINESMI
385,Kumis,37.23690882,-80.17753991,KUMIS
121,Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT
134,Ladysmith Ct,38.07326886,-77.51306745,LADYSMCT
140,Ladysmith,38.04665279,-77.55027637,LADYSMITH
444,Lake of The Woods DP,38.313533,-77.78125429,LAKEOFWD
410,Lakeside,37.61688513,-77.46011624,LAKESID4
211,Lakeridge,38.69243138,-77.29486849,LAKRIDGE
265,Landstown,36.77130203,-76.0921628,LANDSTWN
531,Lane,37.21014027,-80.4200647,LANE
458,Lanexa,37.42016694,-76.91198959,LANEXA
507,Lawrenceville,36.74967218,-77.84646653,LAWRENCE
552,Lebanon,36.92264493,-82.07051379,LEBANON
371,Leesville,37.09398001,-79.40332373,LEESVILL
364,Lexington,37.86765103,-79.42041902,LEXINGTON
460,Lightfoot,37.32823051,-76.75710981,LGHTFOOT
559,Liberty,38.77464047,-77.53375099,LIBERTY
158,Lake Forest,37.37838469,-79.84733838,LKFOREST
20,Lockhart,37.15385841,-82.42560196,LOCKHART
514,Locks,37.22197699,-77.44356458,LOCKS
255,London Bridge,36.77195611,-76.01968104,LONDNBRG
9,Lonesome Pine,37.23666153,-81.31395374,LONESOME
17,Looney Creek,37.31553478,-82.09443031,LOONEYCR
564,Loudon,38.89413189,-77.56454703,LOUDOUN
38,Louisa Generation Facility,38.1174189,-78.21546139,LOUISA
148,Lovettsville,39.2954316,-77.63267947,LOVETTSV
152,Lowmoor,37.77652852,-79.89199139,LOWMOOR
254,Lynnhaven,36.83837513,-76.07525627,LYNNHAVN
465,Magruder,37.05799066,-76.40107992,MAGRUDER
398,Manchester,37.49546269,-77.43218906,MANCHSTR
412,Marlboro,37.47400671,-77.43489524,MARLBORO
448,Marsh Run Ct,38.52789851,-77.7696135,MARSHRUN
457,Dow,37.20268562,-76.60514216,MARTNHND
569,Marvin,37.1708581,-81.97478255,MARVIN
260,McLaughlin,36.87418604,-76.29850469,MCLAUGH
320,Meadow Brook,39.05806093,-78.25340577,MEADOWBR
526,Merrimac,37.19254473,-80.41881611,MERRIMAC
450,Middleburg,38.95924315,-77.72156119,MIDDLEBG
439,Midlothian,37.50258352,-77.70405173,MIDLOTHIAN
532,Midway,37.17076573,-80.42270364,MIDWAYAP
302,Midway,38.02658212,-78.70715991,MIDWAYDP
133,Mine Road,38.2502859,-77.47591398,MINEROAD
213,Lindendale D.P. (Minnieville),38.65266973,-77.3483491,MINVILDP
318,Oak Green,38.36749298,-77.99374172,MITCHLDP
305,Monel,37.45648548,-79.12426127,MONEL
232,Moneta,37.19526388,-79.61744947,MONETA
274,Huntington Court,37.31602459,-79.92794802,MONTEREY
44,Moore,38.76755396,-77.37500478,MOOREDP
445,Morrisville,38.50108792,-77.70878874,MORRISVILLE
146,Mosby,38.8949686,-77.56820306,MOSBY
233,Moseley,37.35232939,-79.56578353,MOSELEY
529,Mount View,37.25929655,-80.4455485,MOUNTVIE
294,Mount Jackson,38.72436542,-78.6617298,MTJACKS4
65,Mountain Run,38.46291035,-77.97397651,MTN RUN
117,Mountain Road,37.67043029,-77.52191006,MTNROAD
387,Mt. Union,37.46008211,-80.01517844,MTUNION
503,Myrtle,36.77130021,-76.6966516,MYRTLE
456,Nasa,37.09336742,-76.38503463,NASA
414,Allied,37.33836845,-77.29775811,NATWELDR
520,North Blacksburg,37.27708188,-80.38097126,NBLACKSB
419,North Doswell,37.88319273,-77.46122386,NDOSWLDP
95,Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC
180,New London,37.32910871,-79.30879958,NEWLONDO
147,New Road,38.93391329,-77.62540895,NEWROAD
142,Ni River DP,38.24325646,-77.58614837,NIRIVER
215,NIVO,39.02340639,-77.46050049,NIVO
441,North Anna,38.06129172,-77.79721628,NORTH ANNA
408,Northeast,37.55070134,-77.3623233,NORTHEAS
440,North Pole,37.6362189,-77.79385635,NPOLE
226,North River D.P.,38.34759674,-78.89656327,NRIVERDP
558,North Alexandria,38.82052447,-77.05197835,NRTHALEX
474,Northern Neck,37.94847795,-76.71203979,NRTHNECK
167,North Shenandoah,38.52692713,-78.620324,NSHE APS
114,Northwest,37.63046819,-77.54155697,NWEST
590,Winters Branch,38.732736,-77.507383,NWINTERS
462,Newport News,36.98655702,-76.43043748,NWPORTNW
106,Westmoreland,38.18440517,-76.9986338,OAKGROV4
478,Oak Hall,37.94334067,-75.57043579,OAKHALL
284,Oak Level,36.82143927,-79.93027797,OAKLEVEL
235,Oak Ridge,36.72468115,-76.62220275,OAKRIDGE
258,Oakwood,36.90978868,-76.2373345,OAKWOOD
342,Occoquan,38.71315635,-77.26906377,OCCOQUAN
56,Covanta Fairfax Energy,38.69652368,-77.23980488,OGDENMTN
322,Old Chapel,39.15975987,-78.00807123,OLDCHAPE
339,Old Church,37.63455996,-77.25058771,OLDCHRCH
297,Omega DP,36.67050094,-78.81133379,OMEGADP
308,Opossum Creek,37.3726085,-79.10762812,OPOSSUMC
177,Otter,37.14295548,-79.28041261,OTTER
82,Altavista Power Station,37.11776583,-79.27597003,OTTERRIV
189,Ox,38.72378605,-77.28851676,OX
166,Page,38.6696023,-78.45205357,PAGE
277,Fieldale,36.7058555,-79.91481694,PATRIOTC
443,Paytes DP,38.22622493,-77.83495515,PAYTESDP
225,Peach Grove D.P.,38.38144379,-78.88548045,PEACHGDP
290,Peak Creek,37.04844348,-80.74781265,PEAKCREE
309,Peaksview,37.38946666,-79.12208623,PEAKSVIE
407,Pearsons,37.67124566,-77.37924539,PEARSON
256,Pendleton,36.79038605,-75.99842104,PENDLETN
231,Penhook,36.97884841,-79.61653232,PENHOOK
467,Peninsula,37.09145819,-76.38880985,PENINSLA
